start_time_s,end_time_s,pitch_midi,velocity,amplitude
-0.058050,1.940150,43,95,0.747697
0.011610,3.613271,50,83,0.653273
0.952018,1.555737,55,68,0.536623
1.916930,3.648101,66,88,0.692778
2.764458,3.019878,45,57,0.449478
3.565547,6.749249,45,81,0.639436
3.729371,4.379529,40,64,0.506134
3.810640,5.563747,48,60,0.475081
3.949960,6.389339,67,54,0.424177
4.228600,4.495629,64,64,0.505376
4.449189,4.669779,52,61,0.476496
4.658169,6.331289,60,54,0.423077
4.960028,5.494087,52,53,0.420851
5.785620,6.691199,52,63,0.494228
6.842128,8.225000,55,71,0.562408
7.120768,7.888310,43,54,0.423529
7.445847,8.735839,67,75,0.594270
8.248219,8.712619,62,64,0.506767
8.283049,8.666179,43,59,0.462174
8.584909,10.525059,50,82,0.646549
8.735839,10.327689,66,72,0.563176
8.886768,10.478619,62,69,0.543685
9.002868,10.559889,54,83,0.652496
10.571499,10.908188,55,65,0.510683
10.617939,13.301127,48,83,0.656291
10.641159,11.128778,60,58,0.458475
10.687599,11.849880,52,81,0.636997
10.931408,12.070470,64,55,0.432665
11.511907,13.173418,60,93,0.728425
11.977590,13.743590,52,64,0.503586
12.430379,13.557831,55,74,0.586116
13.708761,14.800098,55,76,0.595013
13.999010,14.800098,43,91,0.712823
14.126720,14.800098,50,70,0.550179
14.289259,14.544679,59,53,0.417189
